AVAPS-T01 STA 132855101 140630 171042.59
AVAPS-T01 COM            UTC     UTC      Wind   Vert      GPS        GPS     Geopoten GPS Wind    GPS   
AVAPS-T01 COM   Sonde    Date    Time     Spd    Veloc  Longitude   Latitude  Altitude Snd Error Altitude
AVAPS-T01 COM    ID     yymmdd hhmmss.ss  (m/s)  (m/s)    (deg)       (deg)      (m)   Sat (m/s)    (m)  
AVAPS-T01 COM --------- ------ --------- ------ ------ ----------- ---------- -------- --- ----- --------
AVAPS-D01 S00 132855101 140630 173050.75  15.18 -16.39  -80.125659  28.572210  2600.93  12  0.62  2606.58
AVAPS-D01 S10 132855101 140630 173051.00  15.26 -16.18  999.000000  99.000000 99999.00  12  0.61 99999.00
AVAPS-D01 S11 132855101 140630 173051.25  15.22 -16.52  -80.125697  28.572150 99999.00  12  0.56  2598.29
AVAPS-D01 S10 132855101 140630 173051.50  14.79 -16.58  999.000000  99.000000 99999.00  12  0.56 99999.00
AVAPS-D01 S00 132855101 140630 173051.75  14.78 -16.63  -80.125738  28.572094  2585.01  12  0.57  2589.94
AVAPS-D01 S10 132855101 140630 173052.00  14.43 -16.66  999.000000  99.000000 99999.00  12  0.61 99999.00
AVAPS-D01 S00 132855101 140630 173052.25  15.29 -16.66  -80.125780  28.572038  2581.53  12  0.61  2581.67
AVAPS-D01 S10 132855101 140630 173052.50  15.84 -16.52  999.000000  99.000000 99999.00  12  0.62 99999.00
AVAPS-D01 S00 132855101 140630 173052.75  16.27 -16.42  -80.125825  28.571979  2571.31  12  0.58  2573.53
AVAPS-D01 S10 132855101 140630 173053.00  16.45 -16.29  999.000000  99.000000 99999.00  12  0.56 99999.00
AVAPS-D01 S00 132855101 140630 173053.25  16.57 -16.29  -80.125869  28.571916  2562.83  12  0.65  2565.42
AVAPS-D01 S10 132855101 140630 173053.50  16.45 -16.19  999.000000  99.000000 99999.00  12  0.65 99999.00
AVAPS-D01 S00 132855101 140630 173053.75  16.59 -16.22  -80.125909  28.571851  2554.91  12  0.63  2557.27
AVAPS-D01 S10 132855101 140630 173054.00  16.09 -15.94  999.000000  99.000000 99999.00  12  0.59 99999.00
AVAPS-D01 S00 132855101 140630 173054.25  16.33 -16.38  -80.125948  28.571787  2549.09  12  0.53  2549.09
AVAPS-D01 S10 132855101 140630 173054.50  15.04 -16.47  999.000000  99.000000 99999.00  12  0.54 99999.00
AVAPS-D01 S00 132855101 140630 173054.75  15.01 -16.49  -80.125989  28.571729  2544.87  12  0.60  2540.82
AVAPS-D01 S11 132855101 140630 173055.00 999.00  99.00  999.000000  99.000000 99999.00  12  0.60 99999.00
AVAPS-D01 S10 132855101 140630 173055.25  14.27 -16.58  -80.126026  28.571673 99999.00  12  0.60  2532.44
AVAPS-D01 S10 132855101 140630 173055.50  13.64 -16.59  999.000000  99.000000 99999.00  12  0.60 99999.00
AVAPS-D01 S00 132855101 140630 173055.75  13.52 -16.49  -80.126053  28.571616  2526.14  12  0.59  2524.38
AVAPS-D01 S10 132855101 140630 173056.00  13.45 -16.41  999.000000  99.000000 99999.00  12  0.56 99999.00
AVAPS-D01 S01 132855101 140630 173056.25  85.69 -28.84  -80.126077  28.571559  2514.75  12  0.54  2516.14
AVAPS-D01 S11 132855101 140630 173056.50  15.01 -16.46  999.000000  99.000000 99999.00  12  0.60 99999.00
